City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Suslovo,RU,2022-04-04 18:33:12,56.2167,88.1167,33.12,95,100,5.01
67,Namatanai,PG,2022-04-04 18:30:15,-3.6667,152.4333,79.61,83,89,7.25
68,Barrow,US,2022-04-04 18:33:13,71.2906,-156.7887,-7.58,77,100,16.11
69,Sars,RU,2022-04-04 18:33:13,56.5502,57.1366,36.99,94,100,16.53
70,Aykhal,RU,2022-04-04 18:33:13,66.0,111.5,-1.77,100,100,4.52
71,Totness,SR,2022-04-04 18:33:14,5.8833,-56.3167,80.51,79,89,12.57
72,Tiarei,PF,2022-04-04 18:33:14,-17.5333,-149.3333,86.02,79,68,16.42
73,Hrubieszow,PL,2022-04-04 18:33:15,50.805,23.8925,34.93,61,52,15.64
74,Bengkulu,ID,2022-04-04 18:33:15,-3.8004,102.2655,75.97,85,28,4.59
75,Kavieng,PG,2022-04-04 18:33:15,-2.5744,150.7967,81.61,79,100,11.21
76,Sur,OM,2022-04-04 18:33:16,22.5667,59.5289,81.48,57,5,12.21
77,Clyde River,CA,2022-04-04 18:33:16,70.4692,-68.5914,16.03,86,75,4.61
78,Atuona,PF,2022-04-04 18:33:17,-9.8,-139.0333,79.34,77,8,22.57
79,Kruisfontein,ZA,2022-04-04 18:33:17,-34.0033,24.7314,63.88,81,0,14.43
80,Thompson,CA,2022-04-04 18:30:25,55.7435,-97.8558,39.36,48,20,9.22
81,Shakawe,BW,2022-04-04 18:33:18,-18.3667,21.85,67.77,87,6,4.9
82,Coihaique,CL,2022-04-04 18:33:18,-45.5752,-72.0662,56.01,67,75,4.61
83,Hofn,IS,2022-04-04 18:33:18,64.2539,-15.2082,30.22,74,100,6.91
84,Nybro,SE,2022-04-04 18:33:19,56.7446,15.9071,41.05,93,100,14.9
85,Martapura,ID,2022-04-04 18:33:19,-3.4167,114.85,73.49,100,72,1.14
86,Narsaq,GL,2022-04-04 18:29:16,60.9167,-46.05,50.22,67,100,2.53
87,Pisco,PE,2022-04-04 18:28:32,-13.7,-76.2167,70.02,73,0,11.5
88,Khatanga,RU,2022-04-04 18:33:20,71.9667,102.5,-30.17,100,30,4.03
89,Victor Harbor,AU,2022-04-04 18:23:23,-35.5667,138.6167,54.37,88,10,4.72
90,Mahebourg,MU,2022-04-04 18:33:20,-20.4081,57.7,79.25,83,75,9.22
91,Komsomolskiy,UZ,2022-04-04 18:33:20,40.4272,71.7189,61.52,51,0,9.22
92,Loncoche,CL,2022-04-04 18:34:21,-39.3667,-72.6333,64.89,46,99,5.37
93,Tuatapere,NZ,2022-04-04 18:34:21,-46.1333,167.6833,56.39,88,100,5.55
94,Aklavik,CA,2022-04-04 18:34:22,68.2191,-135.0107,-10.93,92,100,11.61
95,Beringovskiy,RU,2022-04-04 18:34:22,63.05,179.3167,-7.28,89,100,12.68
96,Lebu,CL,2022-04-04 18:34:23,-37.6167,-73.65,58.46,71,73,18.07
97,Bluff,NZ,2022-04-04 18:34:17,-46.6,168.3333,54.54,81,100,9.19
98,Buala,SB,2022-04-04 18:34:23,-8.145,159.5921,81.25,83,98,11.99
99,Hermanus,ZA,2022-04-04 18:33:44,-34.4187,19.2345,62.8,81,12,14.18
100,Korla,CN,2022-04-04 18:34:24,41.7597,86.1469,59.25,22,0,2.8
101,Hamilton,US,2022-04-04 18:34:24,39.1834,-84.5333,57.25,51,100,12.66
102,Muros,ES,2022-04-04 18:34:24,42.7762,-9.0603,54.68,52,0,18.52
103,Genhe,CN,2022-04-04 18:34:25,50.7833,121.5167,13.6,86,6,4.76
104,Andenes,NO,2022-04-04 18:34:25,69.3143,16.1194,26.58,54,0,8.05
105,Lorengau,PG,2022-04-04 18:34:26,-2.0226,147.2712,82.17,79,100,14.92
106,Barcelos,PT,2022-04-04 18:34:09,41.5388,-8.6151,59.85,42,100,4.81
