City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
450,Westport,US,41.1415,-73.3579,52.09,90,100,14.97,overcast clouds
451,Guilin,CN,25.2819,110.2864,60.91,53,0,3.04,clear sky
452,Khandyga,RU,62.6667,135.6,13.98,97,100,2.1,overcast clouds
453,Bacolod,PH,10.6667,122.95,77.67,87,100,7.18,moderate rain
454,Voh,NC,-20.9667,164.7,74.73,93,100,8.77,overcast clouds
455,Garowe,SO,8.4054,48.4845,88.97,24,11,9.55,few clouds
456,Raigarh,IN,21.9,83.4,86.99,16,0,3.6,clear sky
457,Grand Gaube,MU,-20.0064,57.6608,79.2,83,50,5.01,scattered clouds
458,Yumen,CN,40.2833,97.2,60.6,12,0,16.22,clear sky
459,Hickory,US,35.7332,-81.3412,63.88,88,100,5.75,mist
460,Cabedelo,BR,-6.9811,-34.8339,86.67,69,99,11.68,overcast clouds
461,Port Blair,IN,11.6667,92.75,82.44,78,40,2.3,mist
462,Zaranj,AF,30.9667,61.8833,98.56,7,71,7.72,broken clouds
463,Gravdal,NO,68.1214,13.5031,37.29,52,0,6.91,clear sky
464,Wick,GB,58.4333,-3.0833,44.65,70,40,23.02,scattered clouds
465,Mackenzie,CA,55.2999,-123.1698,34.02,100,100,8.05,overcast clouds
466,Appleton,US,44.2619,-88.4154,38.59,89,100,5.99,overcast clouds
467,Nome,US,64.5011,-165.4064,-11.13,70,0,14.97,clear sky
468,Tommot,RU,58.9564,126.2925,11.25,97,100,2.89,overcast clouds
469,La Tuque,CA,47.4334,-72.7824,41.25,52,100,5.75,overcast clouds
470,Swan Hill,AU,-35.3378,143.5544,65.16,56,78,10.09,broken clouds
471,Sept-Iles,CA,50.2001,-66.3821,41.43,56,75,6.91,broken clouds
472,Llanes,ES,43.4198,-4.7549,62.06,63,100,4.16,overcast clouds
473,Jaciara,BR,-15.9653,-54.9683,86.36,56,0,1.99,clear sky
474,Dudinka,RU,69.4058,86.1778,20.62,97,100,6.22,overcast clouds
475,Senneterre,CA,48.3835,-77.2328,38.05,94,100,10.8,moderate rain
476,Bac Lieu,VN,9.285,105.7244,80.56,79,100,9.35,overcast clouds
477,Nabire,ID,-3.3667,135.4833,76.64,91,100,4.14,moderate rain
478,Aitape,PG,-3.1374,142.3475,78.26,89,86,7.16,overcast clouds
479,Haines Junction,CA,60.7522,-137.5108,21.15,86,100,1.14,overcast clouds
480,Zhigansk,RU,66.7697,123.3711,-11.79,100,77,5.66,broken clouds
481,Bambanglipuro,ID,-7.95,110.2833,76.78,89,100,1.52,overcast clouds
482,Garissa,KE,-0.4536,39.6401,96.93,28,43,5.01,scattered clouds
483,Nelson Bay,AU,-32.7167,152.15,71.01,88,84,18.01,broken clouds
484,Morondava,MG,-20.2833,44.2833,82.83,60,0,10.51,clear sky
485,Guerrero Negro,MX,27.9769,-114.0611,65.61,66,0,3.51,clear sky
486,Lahaina,US,20.8783,-156.6825,73.81,82,2,12.37,clear sky
487,Mariakani,KE,-3.8633,39.4736,82.78,59,5,12.5,clear sky
488,Dingle,PH,10.9995,122.6711,74.16,95,100,6.67,moderate rain
489,Saint George,US,37.1041,-113.5841,51.8,19,0,4.61,clear sky
490,Hede,CN,33.7681,120.2517,51.75,89,0,6.17,clear sky
491,Turukhansk,RU,65.8167,87.9833,11.77,92,46,5.7,scattered clouds
492,Pella,RU,59.7775,30.8181,42.04,99,100,7.47,overcast clouds
493,Tessalit,ML,20.1986,1.0114,104.61,5,0,11.34,clear sky
494,Staffanstorp,SE,55.6428,13.2064,45.07,87,100,14.97,overcast clouds
495,Ahuimanu,US,21.4447,-157.8378,73.2,75,20,11.5,few clouds
496,Acapulco,MX,16.8634,-99.8901,71.42,94,75,3.44,broken clouds
497,Ducheng,CN,23.2373,111.5317,71.69,54,2,1.12,clear sky
498,San Jose,US,37.3394,-121.895,69.91,46,40,3.44,scattered clouds
499,Atasu,KZ,48.6814,71.6433,44.69,97,100,7.02,overcast clouds
500,Husavik,IS,66.0449,-17.3389,27.5,67,93,6.42,overcast clouds
501,Joao Camara,BR,-5.5375,-35.8197,90.52,48,87,12.24,overcast clouds
502,Zihuatanejo,MX,17.6333,-101.55,77.97,62,88,3.0,overcast clouds
503,Lagoa,PT,39.05,-27.9833,60.33,88,100,19.91,overcast clouds
504,Ottawa,CA,45.4112,-75.6981,44.89,94,100,16.11,moderate rain
505,Kautokeino,NO,69.0125,23.0412,26.47,95,100,10.22,light snow
506,Primorskiy,RU,43.0983,131.5875,32.5,70,18,4.74,few clouds
507,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,52,20,14.97,few clouds
508,Usinsk,RU,65.9939,57.5281,12.18,88,100,14.32,overcast clouds
509,Havoysund,NO,70.9963,24.6622,34.03,85,100,23.58,light snow
510,Moshenskoye,RU,58.5102,34.5911,36.16,99,100,7.34,light rain
511,Beringovskiy,RU,63.05,179.3167,-4.4,88,96,5.1,overcast clouds
512,Moindou,NC,-21.6924,165.677,78.46,80,100,14.12,heavy intensity rain
513,Virginia Beach,US,36.8529,-75.978,68.04,95,100,7.56,overcast clouds
514,Necochea,AR,-38.5473,-58.7368,65.23,67,15,13.89,few clouds
515,College,US,64.8569,-147.8028,16.12,82,75,0.0,broken clouds
516,Port Hedland,AU,-20.3167,118.5667,82.45,78,6,6.91,clear sky
517,Saint-Georges,GD,12.0564,-61.7485,78.48,83,75,13.8,broken clouds
518,Caraballeda,VE,10.6112,-66.8522,89.85,63,35,9.17,scattered clouds
519,Half Moon Bay,US,37.4636,-122.4286,67.87,60,0,4.61,haze
520,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.24,83,70,10.25,broken clouds
521,Hun,LY,29.1268,15.9477,86.4,20,0,16.31,clear sky
522,Gizo,SB,-8.103,156.8419,78.76,87,100,10.65,moderate rain
523,Fort-Shevchenko,KZ,44.5086,50.263,51.58,58,82,12.77,broken clouds
524,Indramayu,ID,-6.3264,108.32,81.46,74,100,6.17,overcast clouds
525,Marechal Candido Rondon,BR,-24.5561,-54.0567,81.97,66,63,8.63,broken clouds
526,Xichang,CN,27.8964,102.2634,57.58,68,99,3.49,overcast clouds
527,Jishou,CN,28.3167,109.7167,67.78,56,0,1.81,clear sky
528,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.96,57,24,3.04,few clouds
529,Sola,VU,-13.8833,167.55,81.97,76,100,9.06,overcast clouds
530,Qasigiannguit,GL,68.8193,-51.1922,21.45,90,100,2.98,overcast clouds
531,Baykit,RU,61.67,96.37,25.95,91,100,6.26,overcast clouds
532,Lompoc,US,34.6391,-120.4579,76.78,59,0,9.22,clear sky
533,Vaitape,PF,-16.5167,-151.75,81.95,76,21,18.37,few clouds
534,Shimoda,JP,34.6667,138.95,59.11,76,0,18.68,clear sky
535,Takaka,NZ,-40.85,172.8,55.56,89,81,4.97,broken clouds
536,Cairns,AU,-16.9167,145.7667,75.15,92,93,2.3,overcast clouds
537,Nieves,PH,15.3274,120.9485,76.96,78,99,2.89,overcast clouds
538,Korla,CN,41.7597,86.1469,70.7,15,0,5.5,clear sky
539,Zeya,RU,53.75,127.2667,21.16,71,99,3.38,overcast clouds
540,Yenagoa,NG,4.9247,6.2642,90.18,54,88,7.2,overcast clouds
541,Poum,NC,-20.2333,164.0167,81.16,83,100,22.77,overcast clouds
542,Alofi,NU,-19.0595,-169.9187,71.49,94,100,3.44,overcast clouds
543,Juegang,CN,32.3174,121.1855,57.9,87,0,7.7,clear sky
544,Barpeta,IN,26.3167,91.0,81.05,60,17,2.62,few clouds
545,Ola,RU,59.5833,151.2833,22.06,93,100,10.4,light snow
546,Labytnangi,RU,66.6572,66.4183,9.28,95,100,6.46,overcast clouds
547,Pemangkat,ID,1.1667,108.9667,79.43,82,100,10.67,overcast clouds
548,Banjar,ID,-8.19,114.9675,76.93,91,97,5.5,overcast clouds
549,Leh,IN,34.1667,77.5833,32.63,45,9,7.16,clear sky
550,Santa Cruz,BO,-17.8,-63.1667,86.05,66,75,13.8,broken clouds
551,Rochegda,RU,62.8,43.25,30.9,86,36,3.62,scattered clouds
552,Normal,US,40.5142,-88.9906,43.18,62,40,21.85,scattered clouds
553,Thinadhoo,MV,0.5333,72.9333,83.46,66,9,3.31,clear sky
554,Kendari,ID,-3.945,122.4989,75.92,89,100,4.21,overcast clouds
555,Male,MV,4.1748,73.5089,85.95,74,40,4.61,scattered clouds
556,Waipawa,NZ,-41.4122,175.5153,42.3,83,0,4.7,clear sky
557,Puerto Colombia,CO,10.9878,-74.9547,82.49,71,100,6.6,overcast clouds
558,Naze,JP,28.3667,129.4833,61.72,63,100,10.38,overcast clouds
559,Luderitz,NA,-26.6481,15.1594,72.79,50,17,25.43,few clouds
560,Point Pedro,LK,9.8167,80.2333,83.79,71,84,10.85,broken clouds
561,Portland,US,45.5234,-122.6762,52.88,63,40,1.99,scattered clouds
562,Tashtyp,RU,52.7939,89.8983,40.62,93,79,3.09,broken clouds
563,Joigny,FR,47.9829,3.401,53.82,87,100,20.6,light rain
564,Omboue,GA,-1.5746,9.2618,83.3,74,95,13.29,overcast clouds
565,Porto Belo,BR,-27.1578,-48.5531,82.89,77,100,5.77,overcast clouds
